Xmin	Xmax	Ymin	Ymax	Zmin	Zmax
-0.153094	2.15309	-0.153094	2.15309	0.846906	9.45928	
x	y	z	U	V	W	Ro	P	Vol	Num
0.541761	0.485838	1.34435	-0.0187436	-0.567211	-0.0450683	2864.16	7594.47	0.000501002	2
0.541747	0.484501	1.39291	-0.0199606	-0.677579	-0.104005	2658.1	6976.29	0.000501002	2
0.541774	0.48398	1.44178	-0.0176435	-0.720792	-0.137147	2520.3	6562.91	0.000501002	2
0.541832	0.541871	1.19778	-0.0122691	-0.00879889	0.0941328	4654.16	12964.5	0.000501002	2
0.54173	0.541821	1.24538	-0.0213298	-0.0132479	-0.0696163	3925.8	10779.4	0.000501002	2
0.541644	0.541838	1.29428	-0.0291242	-0.0118444	-0.10961	3750.39	10253.2	0.000501002	2
0.541557	0.541875	1.3433	-0.0369785	-0.00870751	-0.131335	3598.9	9798.71	0.000501002	2
0.541534	0.541879	1.39252	-0.0390377	-0.00830556	-0.13637	3486.89	9462.68	0.000501002	2
0.541606	0.541876	1.44152	-0.0326851	-0.00857149	-0.159073	3365.43	9098.29	0.000501002	2
0.541826	0.592017	1.19799	-0.0128774	0.0648556	0.111499	4395.25	12187.7	0.000501002	2
0.541767	0.59285	1.24622	-0.0180744	0.133339	-0.000601617	3562.52	9689.55	0.000501002	2
0.541774	0.595099	1.29582	-0.0175724	0.318231	0.0165717	3201.43	8606.29	0.000501002	2
0.541761	0.598041	1.34445	-0.0186782	0.561444	-0.036099	2863.35	7592.06	0.000501002	2
0.541754	0.599365	1.39293	-0.0193852	0.6708	-0.102151	2657.95	6975.84	0.000501002	2
0.541778	0.599883	1.44177	-0.0172773	0.713628	-0.137539	2520.04	6562.13	0.000501002	2
0.541926	0.649015	1.19868	-0.00395308	0.708049	0.172287	3090.2	8272.59	0.000501002	2
0.541936	0.649596	1.24797	-0.00307425	0.754206	0.147264	2285.7	5859.09	0.000501002	2
0.542023	0.651021	1.29922	0.00479833	0.873342	0.300484	1794.28	4384.84	0.000501002	2
0.592482	0.49065	1.19855	0.101786	-0.170377	0.158549	4138.27	11416.8	0.000501002	2
0.593043	0.489353	1.24635	0.148335	-0.277953	0.0105585	3270.53	8813.58	0.000501002	2
0.59291	0.48703	1.29537	0.138129	-0.469347	-0.0201243	2945.9	7839.7	0.000501002	2
0.592382	0.485024	1.34408	0.0952029	-0.63494	-0.0674699	2657.09	6973.28	0.000501002	2
0.592901	0.484071	1.39367	0.138008	-0.713677	-0.0408954	2425.74	6279.21	0.000501002	2
0.595221	0.483721	1.44296	0.330122	-0.743014	-0.0395166	2209.25	5629.74	0.000501002	2
0.591224	0.541904	1.19786	-0.00061949	-0.00585321	0.0997815	4504.99	12517	0.000501002	2
0.591516	0.541882	1.24545	0.0225148	-0.0079229	-0.0640445	3738.82	10218.5	0.000501002	2
0.591728	0.541886	1.29427	0.0396706	-0.00758076	-0.110424	3552.16	9658.47	0.000501002	2
0.591797	0.541878	1.34336	0.0451285	-0.0084089	-0.126788	3396.04	9190.12	0.000501002	2
0.592419	0.541861	1.39326	0.0959033	-0.00995105	-0.0755338	3219.93	8661.78	0.000501002	2
0.594213	0.541865	1.44262	0.243596	-0.00960906	-0.0683399	2967.24	7903.71	0.000501002	2
0.592518	0.593196	1.1985	0.104923	0.162	0.154132	4136.58	11411.7	0.000501002	2
0.59308	0.594463	1.24641	0.151468	0.266808	0.0163264	3269.65	8810.95	0.000501002	2
0.592915	0.596852	1.29545	0.138546	0.46396	-0.0128927	2944.56	7835.68	0.000501002	2
0.592366	0.598836	1.34411	0.0937787	0.627575	-0.0651393	2656.62	6971.86	0.000501002	2
0.592869	0.59977	1.39368	0.135243	0.704644	-0.040664	2425.79	6279.38	0.000501002	2
0.595182	0.600136	1.44294	0.326654	0.735378	-0.040967	2209.14	5629.41	0.000501002	2
0.595123	0.649704	1.1997	0.32309	0.768648	0.257591	2769.36	7310.09	0.000501002	2
0.596175	0.650246	1.24869	0.410115	0.809472	0.208143	1977.37	4934.12	0.000501002	2
0.645655	0.487522	1.20033	0.424711	-0.428565	0.30983	3295.94	8889.82	0.000501002	2
0.647288	0.486195	1.24708	0.562153	-0.539302	0.0748535	2351.59	6056.78	0.000501002	2
0.648048	0.485555	1.29523	0.625651	-0.591738	-0.030158	2053.37	5162.1	0.000501002	2
0.648349	0.485007	1.34403	0.650427	-0.636241	-0.0714793	1837.63	4514.9	0.000501002	2
0.648814	0.484637	1.39549	0.689082	-0.666681	0.110789	1623.4	3872.19	0.000501002	2
0.643342	0.541921	1.19914	0.231576	-0.00446546	0.208583	3826.53	10481.6	0.000501002	2
0.645137	0.5419	1.24666	0.381592	-0.00634633	0.0385926	2898.46	7697.37	0.000501002	2
0.647409	0.541868	1.29518	0.570327	-0.00926945	-0.034097	2618.68	6858.03	0.000501002	2
0.648593	0.541833	1.34385	0.668455	-0.0125122	-0.0861661	2411.41	6236.24	0.000501002	2
0.649351	0.541843	1.3945	0.731138	-0.0115792	0.0262746	2164.91	5496.72	0.000501002	2
0.650466	0.541956	1.44454	0.824237	-0.00138908	0.0902983	1818.57	4457.72	0.000501002	2
0.645584	0.59639	1.20033	0.418323	0.426124	0.309859	3296.7	8892.11	0.000501002	2
0.647174	0.59769	1.24708	0.551942	0.534292	0.0749241	2353.28	6061.83	0.000501002	2
0.647887	0.598296	1.29525	0.611337	0.583614	-0.0286978	2054.29	5164.86	0.000501002	2
0.648149	0.598805	1.34405	0.632613	0.624555	-0.0696997	1839.07	4519.22	0.000501002	2
0.648588	0.599186	1.39547	0.668947	0.655911	0.108238	1624.97	3876.91	0.000501002	2
0.699402	0.541981	1.20169	0.794441	0.00102658	0.432964	2435.94	6309.81	0.000501002	2
0.700861	0.541978	1.24964	0.918936	0.000661923	0.294677	1519.49	3560.48	0.000501002	2
0.486761	0.483708	1.49214	-0.492682	-0.743695	-0.0475216	1968.64	4907.93	0.000501002	2
0.484998	0.483804	1.54388	-0.638756	-0.73682	0.158664	1636.13	3910.4	0.000501002	2
0.487448	0.541842	1.49217	-0.43351	-0.0116245	-0.0461213	2657.41	6974.23	0.000501002	2
0.484589	0.541838	1.5432	-0.670936	-0.011989	0.0998623	2228.96	5688.88	0.000501002	2
0.482764	0.541957	1.59219	-0.822928	-0.00137418	0.0773975	1771.53	4316.59	0.000501002	2
0.482504	0.541973	1.64037	-0.844153	0.000162983	-0.0126759	1419.19	3259.58	0.000501002	2
0.483619	0.541972	1.69004	-0.751371	4.88454e-005	0.0207345	1152.84	2460.53	0.000501002	2
0.484192	0.541971	1.74229	-0.703732	7.62268e-006	0.269061	860.509	1583.53	0.000501002	2
0.486872	0.600131	1.49217	-0.482808	0.734377	-0.044678	1968.96	4908.89	0.000501002	2
0.485197	0.600026	1.54385	-0.620991	0.726625	0.15581	1637.29	3913.86	0.000501002	2
0.541778	0.483911	1.49126	-0.0173213	-0.724342	-0.119448	2388.9	6168.7	0.000501002	2
0.541763	0.483395	1.54227	-0.0187897	-0.768251	0.0234161	2114.95	5346.85	0.000501002	2
0.541899	0.482553	1.59228	-0.00657158	-0.839055	0.0860875	1722.25	4168.74	0.000501002	2
0.541906	0.481356	1.64271	-0.00598769	-0.938686	0.184781	1322.52	2969.56	0.000501002	2
0.541643	0.541869	1.49103	-0.029466	-0.00920133	-0.13926	3216.78	8652.33	0.000501002	2
0.541608	0.541815	1.54176	-0.0326856	-0.0140959	-0.0198043	2876.74	7632.23	0.000501002	2
0.541732	0.541782	1.5914	-0.0216556	-0.017099	0.0117402	2413.75	6243.24	0.000501002	2
0.541755	0.541793	1.64099	-0.0195237	-0.0161109	0.0385106	1964.83	4896.49	0.000501002	2
0.541729	0.541949	1.69082	-0.0218362	-0.00206348	0.0848539	1589.37	3770.12	0.000501002	2
0.541773	0.541971	1.74116	-0.0178455	-6.65844e-005	0.173048	1188.59	2567.76	0.000501002	2
0.541782	0.599954	1.4913	-0.0169724	0.717431	-0.116306	2388.35	6167.06	0.000501002	2
0.541768	0.60041	1.54228	-0.0182621	0.75599	0.0246971	2114.99	5346.98	0.000501002	2
0.541904	0.601226	1.59228	-0.00614668	0.824487	0.08623	1722.6	4169.79	0.000501002	2
0.541911	0.602443	1.64268	-0.00551093	0.925892	0.18242	1322.94	2970.83	0.000501002	2
0.597001	0.483864	1.49222	0.476602	-0.729871	-0.0404392	1968.4	4907.21	0.000501002	2
0.598708	0.484139	1.54393	0.617654	-0.707083	0.162783	1638.2	3916.6	0.000501002	2
0.596007	0.541845	1.49234	0.38989	-0.0113618	-0.031025	2657.54	6974.63	0.000501002	2
0.598823	0.541844	1.54333	0.623519	-0.0114437	0.111586	2230.46	5693.39	0.000501002	2
0.600645	0.54196	1.59219	0.775309	-0.00103079	0.077189	1773.96	4323.88	0.000501002	2
